AP900816-0139_44|` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said .
AP900816-0139_45|He also said of trade with Iraq : ` ` There are no shipments at the moment . ' ' A day earlier , scores of trucks , many with Iraqi license plates , streamed north out of Aqaba to Amman and onto the desert highway bound for Iraq .
AP900816-0139_42|Bush has indicated the U.S. Navy will barricade the port from Iraqi ships .
AP900816-0139_43|The president also has offered to help offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there .
AP900816-0139_40|Bush 's chief objective in his meeting with Hussein was to press the king to shut down Iraq 's food and oil supply route from Aqaba on the Red Sea .
AP900816-0139_41|Aqaba is Iraq 's only outlet now that an international noose has tightened .
APW19980626.0364_0|BONN , Germany ( AP ) _ A phony address listed on disclosure forms for a French donor will cost the far-right German People 's Union about 549,000 marks ( dlrs 305,000 ) , parliament said Friday .
AP900816-0139_48|but myself , ' ' Hussein said .
AP900816-0139_49|In the United Nations , Libya called for the replacement of U.S. forces in the Persian Gulf with Arab League forces and U.N. soldiers .
APW19980227.0494_10|In their joint statement issued after the talks , Yeltsin and Kuchma called for the fastest possible ratification of the treaty , saying it would create a ` ` strong legal foundation ' ' for bilateral ties and help stability in Europe .
APW19980227.0494_11|Kuchma assured Yeltsin that Ukraine would not join NATO , Yeltsin 's spokesman Sergei Yastrzhembsky said , according to the Interfax news agency .
APW19980227.0494_12|The Russian leadership has staunchly opposed the western alliance 's expansion into Eastern Europe .
APW19980227.0494_13|In their joint statement , released by the Kremlin , the two leaders also pledged to consult each other regularly on their approaches to relations with NATO and , in particular , their action within the framework of NATO 's Partnership for Peace program .
APW19980227.0494_14|Last year , Russian officials assailed Ukraine for holding joint naval exercises with NATO in the Black Sea _ an area Moscow considers its own turf .
APW19980227.0494_15|Kuchma has said repeatedly that Ukraine would remain neutral for the foreseeable future .
APW19980227.0494_16|Yeltsin and Kuchma also called for developing the stagnant relations between the members of the Commonwealth of Independent States , a loose coalition of former Soviet republics .
APW19980227.0494_17|In the past , Russia has often claimed that Ukraine was undermining efforts at closer cooperation within the CIS .
APW19980227.0494_18|A major goal of Kuchma 's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations ' trade turnover , which fell to dlrs 14 billion last year , down dlrs 2.5 billion from 1996 .
APW19980227.0494_19|The two presidents on Friday signed the plan , which calls for cooperation in the metallurgy , fuel , energy , aircraft building , missile , space and chemical industries .
APW19980626.0364_8|UR ( pfg-xx )
wsj_0542_0|Dow Jones amp Co. extended its tender offer of $18 a share , or about $576 million , for the 33% of Telerate Inc. that it does n 't already own until 5 p.m. EST , Nov. 6 . The offer , which Telerate 's two independent directors have rejected as inadequate , previously had been scheduled to expire at midnight Friday .
wsj_0816_9|The number of stocks on the New York Stock Exchange that fell in price yesterday exceeded 1,000 , a key measure of underlying sentiment among technical analysts .
wsj_0816_8|Taken together , the worries prompted a broad sell-off of stocks .
ea980120.1830.0071_9|Not all Cubans believe , but Castro has invited everyone to welcome the man who has been one of Communism 's most effective adversaries , and that 's why there is suspense .
ea980120.1830.0071_8|Above it in Spanish , Jesus , in you we believe .
wsj_0542_6|Dow Jones shares also fell 50 cents to close at $36.125 in Big Board composite trading .
wsj_0816_1|The Dow Jones Industrial Average tumbled 39.55 points , to 2613.73 , in active trading .
ea980120.1830.0071_4|Incidentally , we just show up to do the broadcast , and Cubans want to know what we ' re going to tell Americans , in many cases , what their relatives in the United States are going to hear .
wsj_0816_3|The dollar rose modestly against the mark and the yen , but soared against the pound following the resignation of Britain 's chancellor of the Exchequer , Nigel Lawson .
wsj_0816_2|Long-term Treasury bonds ended slightly higher .
wsj_0346_2|As part of the agreement , Cilcorp said it will pay Hunter $4 million in exchange for agreements not to compete .
wsj_0187_8|Customers holding contracts for Waertsilae Marine 's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital , government officials said .
wsj_0187_6|Under an accord signed yesterday , the government and Union Bank of Finland would become major shareholders in the new company , each injecting 100 million Finnish markkaa ( $23.5 million ) .
wsj_0348_6|Meanwhile , Ogden Corp. , which also has interests in building maintenance and management , reported third-quarter net income of $27.1 million , or 67 cents a share , more than twice the $13.5 million , or 34 cents a share , a year earlier .
wsj_0187_4|Once its ownership is finalized , the new company will open talks with state-appointed receivers to buy or lease Waertsilae Marine 's shipyard facilities .
wsj_0348_4|The stock began trading this summer at $14 apiece .
wsj_0348_3|Ogden Projects , whose shares began trading on the New York Stock Exchange in August , closed yesterday at $26.875 , down 75 cents .
wsj_0348_2|Revenue soared to $101.7 million from $39.5 million .
wsj_0348_1|The Fairfield , N.J. , company , which is 92%-owned by Ogden Corp. , New York , had net of $1.1 million , or four cents a share , a year ago .
wsj_0187_1|The new company will attempt to limit the shipyard 's losses , participants said .
wsj_0745_14|The government retained the single share after selling its stake in Jaguar in 1984 -- part of a nationalistic practice of protecting former government-owned enterprises to deflect criticism of privatization .
APW19980322.0749_18|Riot police in armored cars , shields and helmets prevented a few hundred Protestants , many waving British and Ulster flags , from interfering with the Catholics as they marched within Portadown 's few Catholic streets .
APW19980322.0749_17|` ` Small nationalist communities are not going to be left on their own this summer , ' ' said Gerard Rice , a former IRA prisoner who leads anti-Orange protests in a Catholic neighborhood of south Belfast .
APW19980322.0749_16|Protesters from several Catholic communities crowded into Portadown 's Catholic Garvaghy Road to hear speakers demand negotiations with Orange Order leaders , and pledge to participate in each others ' road-blocking protests this summer .
APW19980322.0749_15|The crucible is Portadown , 30 miles ( 50 kms ) southwest of Belfast , where Orangemen march each July from their rural church back downtown _ through the town 's main Catholic area .
APW19980322.0749_14|Confrontations among Catholic protesters , Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers .
APW19980322.0749_12|They say IRA commanders are responsible for the recent bomb attacks .
APW19980322.0749_11|Northern Ireland 's biggest Protestant party , the Ulster Unionists , is threatening to push for Sinn Fein 's expulsion once again .
APW19980322.0749_10|We are Irish citizens , living in our own country , ' ' Adams said , adding : ` ` Nationalists want to move towards Irish unity and see this process as a bridge in that direction . ' ' But the north 's pro-British Protestant majority is bitterly opposed to uniting Ireland and instead wants a strong government for Northern Ireland , which has been ruled directly by London since 1972 .
wsj_1013_13|For its future strategy , Columbia officials said the thrift may branch out into commercial lending or managing outside investments , as well as beefing up more traditional thrift activities .
wsj_1013_12|Because Columbia now must sell the bonds within five years , accounting rules require the thrift to value the bonds at the lower of cost or market prices .
wsj_1013_11|Previously , Columbia did n 't have to adjust the book value of its junk-bond holdings to reflect declines in market prices , because it held the bonds as long-term investments .
wsj_1013_10|The adjustments result from the recently passed thrift-industry bailout legislation , which requires thrifts to divest all high-yield bond investments by 1994 .
wsj_1013_16|But he said Columbia remains ' one of the most strongly capitalized thrifts in the industry , ' based on the economic value of its assets and tangible capital .
wsj_1013_15|Thomas Spiegel , Columbia 's chairman , said in a statement that the thrift was ' disappointed ' by the effects of the accounting changes .
wsj_1013_14|The quarterly results also reflected $21.4 million in non-recurring losses from commercial real-estate activities in California .
wsj_0376_14|The sharper definition and the autonomy which each will thereby gain will benefit shareholders , customers and employees . '
wsj_0376_15|Courtaulds Chairman and Chief Executive Sir Christopher Hogg will remain in both posts at the surviving chemical company after the spinoff .
wsj_0376_13|In a statement , the company said : ' Both parts can only realize their full potential and be appropriately valued by the market if they are separately quoted companies .
wsj_0376_10|Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year .
wsj_0376_11|Though Mr. Packer has since sold his stake , Courtaulds is moving to keep its institutional shareholders happy .
