_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev15a,ev16a,ev17a,ev18a,ev19a,ev1a,ev20a,ev21a,ev22a,ev23a,ev24a,ev25a,ev26a,ev27a,ev28a,ev29a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,eventstate0,eventstate1,eventstate10,eventstate11,eventstate12,eventstate13,eventstate14,eventstate15,eventstate16,eventstate17,eventstate18,eventstate19,eventstate2,eventstate20,eventstate21,eventstate22,eventstate23,eventstate24,eventstate25,eventstate26,eventstate27,eventstate28,eventstate29,eventstate3,eventstate4,eventstate5,eventstate6,eventstate7,eventstate8,eventstate9,eventtype0,eventtype1,eventtype10,eventtype11,eventtype12,eventtype13,eventtype14,eventtype15,eventtype16,eventtype17,eventtype18,eventtype19,eventtype2,eventtype20,eventtype21,eventtype22,eventtype23,eventtype24,eventtype25,eventtype26,eventtype27,eventtype28,eventtype29,eventtype3,eventtype4,eventtype5,eventtype6,eventtype7,eventtype8,eventtype9,noevents,othertextfield0,othertextfield1,othertextfield10,othertextfield11,othertextfield12,othertextfield13,othertextfield14,othertextfield15,othertextfield16,othertextfield17,othertextfield18,othertextfield19,othertextfield2,othertextfield20,othertextfield21,othertextfield22,othertextfield23,othertextfield24,othertextfield25,othertextfield26,othertextfield27,othertextfield28,othertextfield29,othertextfield3,othertextfield4,othertextfield5,othertextfield6,othertextfield7,othertextfield8,othertextfield9,step_2_for_each_event_you_have_highlighted_select_the_event_state_and_the_event_type,verification,id,sentence
765774026,8/3/2015 12:57:54,1705078744,8/3/2015 12:57:08,false,superrewards,0.9933,31767535,GBR,V2,Glasgow,90.217.200.227,14-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 13:16:20,1705083506,8/3/2015 13:16:02,false,gifthunterclub,0.975,33274628,GBR,I4,Morden,77.96.118.137,12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 13:22:55,1705085149,8/3/2015 13:22:35,false,superrewards,0.9797,33199643,USA,WI,Marshfield,66.222.96.78,12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 13:39:42,1705092388,8/3/2015 13:39:15,false,prodege,0.9815,21417560,GBR,H9,London,151.229.175.16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 14:05:18,1705100359,8/3/2015 14:03:55,false,instagc,0.9746,20795315,CAN,ON,Bracebridge,24.146.12.164,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 15:30:11,1705130242,8/3/2015 15:29:46,false,instagc,0.9728,18960682,GBR,C9,Workington,92.19.41.73,0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 15:52:31,1705138968,8/3/2015 15:51:48,false,prodege,0.9504,27934334,GBR,C8,Croydon,81.159.60.172,6,,,,,,,,,,,9-10,,,,,,,,,,,,,,,,,,,Is happening,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 16:44:25,1705161996,8/3/2015 16:43:45,false,elite,0.9346,32732290,GBR,A7,Birmingham,80.249.56.149,0-15,,,,,,,,,,,17-19,,,,,,,,,,,24-26,,,,,,,,Has happened,Has happened,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 16:49:26,1705164688,8/3/2015 16:47:40,false,prodege,0.9649,1924522,USA,NY,New York,96.224.4.169,19,,,,,,,,,,,24-26,,,,,,,,,,,,,,,,,,,Has happened,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
765774026,8/3/2015 17:29:30,1705185513,8/3/2015 17:25:02,false,zoombucks,0.9721,6744840,CAN,BC,Kelowna,174.4.58.160,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wsj_1014_2,"Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume ."
