ABC19980108.1830.0711_20|Nobody believe this any more .
ABC19980108.1830.0711_21|Of all of Asia 's economies , Hong Kong is the most robust .
ABC19980108.1830.0711_22|But in the past three months , stocks have plunged , interest rates have soared and the downturn all across Asia means that people are not spending here .
ABC19980108.1830.0711_23|Hotels are only thirty percent full .
ABC19980108.1830.0711_24|You can get seventy percent discounts at the shopping malls .
ABC19980108.1830.0711_25|Three thousand dollar pearls for eight hundred dollars .
ABC19980108.1830.0711_26|A two hundred dollar wool jacket for fifty dollars .
ABC19980108.1830.0711_27|Still , there are few buyers .
ABC19980108.1830.0711_28|And at the big brokerage houses , after ten years of boom , they 're talking about layoffs .
ABC19980108.1830.0711_29|I think that the mood is fairly gloomy , and I think it 's not going to change for a couple of years .
wsj_0568_7|That is at the high end of the range of 7,000 to 8,000 employees that Unisys said a month ago would be laid off .
wsj_0568_6|On top of that , the Blue Bell , Pa. , concern took a $230 million charge related to the layoffs of 8,000 employees .
wsj_0568_5|Unisys , whose revenue inched up 3.7% in the quarter to $2.35 billion from $2.27 billion in the year-earlier quarter , had an operating loss of about $30 million .
wsj_0568_4|' The quarter was terrible , and the future looks anything but encouraging . '
wsj_0568_3|Just clobbered , ' said Ulric Weil , an analyst at Weil amp Associates who had once been high on the company .
wsj_0568_2|' Unisys is getting clobbered .
wsj_0568_1|At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern .
wsj_0568_0|Unisys Corp. 's announcement Friday of a $648.2 million loss for the third quarter showed that the company is moving even faster than expected to take write-offs on its various problems and prepare for a turnaround next year .
wsj_0568_9|The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts , as some new managers took a hard look at the prospects for that slow-growing business .
wsj_0568_8|Unisys said that should help it save $500 million a year in costs , again at the high end of the previously reported range of $400 million to $500 million .
wsj_0533_5|Merieux officials said last week that they are ' highly confident ' the offer will be approved once it submits details of its proposed investments to federal regulators .
wsj_0907_4|Mr. LeGere attributed the earnings increase to growth in the company 's longhaul trucking insurance lines and the ability to keep premium rates firm .
wsj_0907_2|In an interview , W. Brent LeGere , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $28 million .
wsj_0907_3|The earnings-per-share figures reflect a 25% stock dividend in June 1989 .
wsj_0907_0|Chandler Insurance Co. said it expects to report third-quarter net income jumped 97% to $2.8 million , or 51 cents a share .
