_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev15a,ev16a,ev17a,ev18a,ev19a,ev1a,ev20a,ev21a,ev22a,ev23a,ev24a,ev25a,ev26a,ev27a,ev28a,ev29a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,eventstate0,eventstate1,eventstate10,eventstate11,eventstate12,eventstate13,eventstate14,eventstate15,eventstate16,eventstate17,eventstate18,eventstate19,eventstate2,eventstate20,eventstate21,eventstate22,eventstate23,eventstate24,eventstate25,eventstate26,eventstate27,eventstate28,eventstate29,eventstate3,eventstate4,eventstate5,eventstate6,eventstate7,eventstate8,eventstate9,eventtype0,eventtype1,eventtype10,eventtype11,eventtype12,eventtype13,eventtype14,eventtype15,eventtype16,eventtype17,eventtype18,eventtype19,eventtype2,eventtype20,eventtype21,eventtype22,eventtype23,eventtype24,eventtype25,eventtype26,eventtype27,eventtype28,eventtype29,eventtype3,eventtype4,eventtype5,eventtype6,eventtype7,eventtype8,eventtype9,noevents,othertextfield0,othertextfield1,othertextfield10,othertextfield11,othertextfield12,othertextfield13,othertextfield14,othertextfield15,othertextfield16,othertextfield17,othertextfield18,othertextfield19,othertextfield2,othertextfield20,othertextfield21,othertextfield22,othertextfield23,othertextfield24,othertextfield25,othertextfield26,othertextfield27,othertextfield28,othertextfield29,othertextfield3,othertextfield4,othertextfield5,othertextfield6,othertextfield7,othertextfield8,othertextfield9,step_2_for_each_event_you_have_highlighted_select_the_event_state_and_the_event_type,verification,id,sentence
780022196,8/29/2015 09:05:30,1723751828,8/29/2015 09:05:14,false,elite,0.9909,29216801,USA,"","",172.162.11.98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/29/2015 10:18:24,1723764700,8/29/2015 10:17:44,false,instagc,0.9768,18960682,GBR,C9,Carlisle,92.18.191.132,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/29/2015 13:26:16,1723824310,8/29/2015 13:25:51,false,gifthunterclub,0.9651,30901412,GBR,G5,Margate,85.210.113.40,4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/29/2015 13:46:43,1723832788,8/29/2015 13:46:20,false,prodege,0.9713,14848125,GBR,V2,Glasgow,86.186.177.134,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/29/2015 15:19:19,1723855752,8/29/2015 15:19:01,false,gifthunterclub,0.9704,33274628,GBR,I4,Morden,77.96.118.137,2-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/29/2015 18:11:07,1723906844,8/29/2015 18:10:25,false,elite,0.9598,32798020,USA,FL,Miami,142.0.68.88,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/30/2015 08:46:58,1724218689,8/30/2015 08:46:43,false,elite,0.9524,29209955,USA,"","",172.164.18.54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/30/2015 13:23:47,1724260017,8/30/2015 13:22:49,false,elite,0.9476,32732290,GBR,A7,Birmingham,86.164.236.223,1-15,,,,,,,,,,,19-20,,,,,,,,,,,,,,,,,,,Is happening,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/30/2015 13:25:39,1724260286,8/30/2015 13:25:24,false,elite,0.957,34098234,USA,DE,Wilmington,162.223.90.199,2-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
780022196,8/30/2015 15:39:24,1724291393,8/30/2015 15:38:49,false,instagc,0.9584,20312760,GBR,O1,Ashton-under-lyne,92.29.176.130,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AP900816-0139_44,"` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said ."
